PATH WTC 2,2790.0
PAVONIA/NEWPORT,104617.0
PELHAM BAY PARK,39677.0
PELHAM PKWY,56582.0
PENNSYLVANIA AV,36308.0
PRINCE ST,82533.0
PROSPECT AV,77139.0
PROSPECT PARK,59388.0
QUEENS PLAZA,64207.0
QUEENSBORO PLZ,75527.0
RALPH AV,34366.0
RECTOR ST,93441.0
RIT-MANHATTAN,22949.0
RIT-ROOSEVELT,24526.0
ROCKAWAY AV,58325.0
ROCKAWAY BLVD,43627.0
ROCKAWAY PARK B,3791.0
ROOSEVELT ISLND,37744.0
SARATOGA AV,35863.0
SENECA AVE,16391.0
SHEEPSHEAD BAY,83442.0
SHEPHERD AV,20050.0
SIMPSON ST,52014.0
SMITH-9 ST,28528.0
SOUTH FERRY,73026.0
SPRING ST,114101.0
ST LAWRENCE AV,24499.0
ST. GEORGE,73296.0
STEINWAY ST,82213.0
SUTPHIN BLVD,27193.0
SUTPHIN-ARCHER,134996.0
SUTTER AV-RUTLD,46226.0
THIRTY ST,39032.0
THIRTY THIRD ST,115227.0
TIMES SQ-42 ST,453968.0
TOMPKINSVILLE,4323.0
TREMONT AV,59894.0
TWENTY THIRD ST,40953.0
UNION ST,37224.0
UTICA AV,87086.0
V.CORTLANDT PK,41540.0
VAN SICLEN AV,30903.0
VAN SICLEN AVE,18930.0
VERNON-JACKSON,6766.0
W 4 ST-WASH SQ,220365.0
W 8 ST-AQUARIUM,12190.0
WAKEFIELD/241,29745.0
WALL ST,221140.0
WEST FARMS SQ,44723.0
WESTCHESTER SQ,37122.0
WHITEHALL S-FRY,79469.0
WHITLOCK AV,10646.0
WINTHROP ST,9098.0
WOODHAVEN BLVD,154284.0
WOODLAWN,35914.0
WORLD TRADE CTR,82946.0
YORK ST,57589.0
ZEREGA AV,15261.0
