Station Name2,Count - Station Name2
Kingston-Throop /  Fulton,4
Knickerbocker Av /  Myrtle,2
Kosciusko St /  Broadway Jamaica,2
Lafayette Av /  Fulton,9
Lawrence St /  Broadway,7
Lefferts Blvd /  Liberty,4
Lexington Av /  63rd Street,5
Lexington Av /  Broadway,4
Lexington Av-53rd St /  Queens Boulevard,7
Liberty Av /  Fulton,4
Lincoln Av-52nd St /  Flushing,4
Livonia Av /  Canarsie,2
Long Island City-Court Square /  Crosstown,3
Longwood Av /  Pelham,4
Lorimer St /  Broadway Jamaica,4
Lorimer St /  Canarsie,2
Lowery St-40th St /  Flushing,4
Marble Hill-225th St /  Broadway-7th Ave,2
Marcy Av /  Broadway Jamaica,8
Metropolitan Av /  Crosstown,4
Metropolitan Av /  Myrtle,1
Mets - Willets Point /  Flushing,4
Middletown Rd /  Pelham,2
Montrose Av /  Canarsie,2
Morgan Av /  Canarsie,3
Morris Park /  Dyre Av,1
Morrison Av-Soundview Av /  Pelham,3
Mosholu Parkway /  Jerome,4
Mt Eden Av /  Jerome,2
Myrtle Av /  Broadway Jamaica,2
Myrtle Av /  Canarsie,3
Myrtle-Willoughby Avs /  Crosstown,2
Nassau Av /  Crosstown,6
Neck Rd /  Brighton,1
Neptune Av-Van Siclen /  Culver,2
Nevins St /  Eastern Parkway,4
New Lots Av /  Canarsie,1
New Lots Av /  New Lots,2
New Utrecht Av /  Sea Beach,2
Newkirk Av /  Brighton,1
Newkirk Av /  Nostrand,3
Northern Blvd /  Queens Boulevard,2
Norwood Av /  Broadway Jamaica,2
Norwood-205th St /  Concourse,4
Nostrand Av /  Eastern Parkway,2
Nostrand Av /  Fulton,4
Ocean Parkway /  Brighton,6
Pacific St /  4 Avenue,2
Park Place /  Clark,1
Park Place /  Franklin,2
Parkchester-East 177th St /  Pelham,1
Parkside Av /  Brighton,2
Parsons Blvd /  Queens Boulevard,6
Parsons Blvd-Archer Av - Jamaica Center /  Archer Av,10
Pelham Bay Park /  Pelham,5
Pelham Parkway /  Dyre Av,1
Pelham Parkway /  White Plains Road,5
Pennsylvania Av /  New Lots,2
President St /  Nostrand,2
Prince St /  Broadway,4
Prospect Av /  4 Avenue,3
Prospect Av /  White Plains Road,5
Prospect Park /  Brighton,3
Prospect Park-15 St /  6 Avenue,6
Queens Plaza /  Queens Boulevard,7
Queensboro Plaza /  Flushing,2
Ralph Av /  Fulton,3
Rawson St-33rd St /  Flushing,6
Rector St /  Broadway,9
Rector St /  Broadway-7th Ave,6
Rockaway Av /  Fulton,6
Rockaway Av /  New Lots,2
Rockaway Blvd /  Liberty,4
Rockaway Park-Beach 116th /  Rockaway,1
Roosevelt Island /  63rd Street,1
Saratoga Av /  New Lots,3
Seneca Av /  Myrtle,2
Sheepshead Bay /  Brighton,2
Shepherd Av /  Fulton,4
Simpson St /  White Plains Road,5
Smith-9th St /  6 Avenue,1
South Ferry /  Broadway-7th Ave,5
Spring St /  8 Avenue,3
Spring St /  Lexington,4
St Lawrence Av /  Pelham,2
Steinway St /  Queens Boulevard,4
Sterling St /  Nostrand,2
Stillwell Av /  Brighton,1
Stillwell Av /  Coney Island,1
Sutphin Blvd /  Queens Boulevard,5
Sutphin Blvd-Archer Av - JFK /  Archer Av,4
Sutter Av /  Canarsie,1
Sutter Av /  New Lots,3
Times Square /  42nd St Shuttle,1
Times Square /  Broadway-7th Ave,9
Times Square-42nd St /  Broadway,4
Tremont Av /  Concourse,5
Union Square /  Broadway,4
Union Square /  Canarsie,2
Union St /  4 Avenue,4
Utica Av /  Eastern Parkway,7
Utica Av /  Fulton,4
Van Cortlandt Park-242nd St /  Broadway-7th Ave,4
Van Siclen Av /  Broadway Jamaica,2
Van Siclen Av /  Fulton,4
Van Siclen Av /  New Lots,2
Vernon Blvd-Jackson Av /  Flushing,8
Wakefield-241st St /  White Plains Road,3
Wall St /  Clark,6
Wall St /  Lexington,8
West 4th St /  8 Avenue,6
West 8th St /  Brighton,2
West 8th St /  Coney Island,2
Westchester Square-East Tremont Av /  Pelham,1
Whitehall St /  Broadway,6
Whitlock Av /  Pelham,2
Wilson Av /  Canarsie,1
Winthrop St /  Nostrand,2
Woodhaven Blvd /  Broadway Jamaica,3
Woodhaven Blvd /  Queens Boulevard,4
Woodlawn /  Jerome,2
Woodside Av-61st St /  Flushing,3
World Trade Center /  8 Avenue,8
Yankee Stadium-161st St /  Concourse,8
Yankee Stadium-161st St /  Jerome,8
York St /  6 Avenue,1
Zerega Av /  Pelham,2
Total Result,1868
