CLINTON-WASH AV,C,32708.0
CLINTON-WASH AV,G,34049.0
CONEY IS-STILLW,DFNQ,73283.0
CORTELYOU RD,BQ,38639.0
CORTLANDT ST,R,54358.0
COURT SQ,7,13403.0
COURT SQ,EMG,60992.0
COURT SQ-23 ST,EMG,49520.0
CRESCENT ST,JZ,29768.0
CROWN HTS-UTICA,34,155826.0
CYPRESS AV,6,12579.0
CYPRESS HILLS,J,9185.0
DEKALB AV,BDNQR,104058.0
DEKALB AV,L,72633.0
DELANCEY/ESSEX,FJMZ,145802.0
DITMAS AV,F,16469.0
DYCKMAN ST,1,41511.0
DYCKMAN ST,A,42183.0
E 143/ST MARY'S,6,1604.0
E 149 ST,6,9272.0
E 180 ST,25,48253.0
EAST BROADWAY,F,82861.0
EASTCHSTER/DYRE,5,2527.0
EASTN PKWY-MUSM,23,29288.0
ELDER AV,6,39566.0
ELMHURST AV,MR,81894.0
EUCLID AV,AC,56146.0
EXCHANGE PLACE,1,86830.0
FAR ROCKAWAY,A,28047.0
FLUSHING AV,G,17474.0
FLUSHING AV,JM,54564.0
FLUSHING-MAIN,7,337608.0
FORDHAM RD,4,52503.0
FORDHAM RD,BD,70776.0
FOREST AVE,M,25759.0
FOREST HILLS 71,EFMR,160657.0
FRANKLIN AV,2345S,73660.0
FRANKLIN AV,ACS,38371.0
FRANKLIN ST,1,33279.0
FREEMAN ST,25,27437.0
FRESH POND RD,M,35430.0
FT HAMILTON PKY,D,27110.0
FT HAMILTON PKY,FG,37072.0
FT HAMILTON PKY,N,10534.0
FULTON ST,2345ACJZ,208405.0
FULTON ST,ACJZ2345,190263.0
FULTON ST,G,29890.0
GATES AV,JZ,39596.0
GRAHAM AV,L,60235.0
GRAND ARMY PLAZ,23,44574.0
GRAND ST,BD,134788.0
GRAND ST,L,38570.0
GRAND-NEWTOWN,MR,97523.0
GRANT AV,A,42459.0
GRD CNTRL-42 ST,4567S,650553.0
GREENPOINT AV,G,53624.0
GROVE STREET,1,103684.0
GUN HILL RD,25,45304.0
HALSEY ST,J,39385.0
HALSEY ST,L,11655.0
HARLEM 148 ST,3,24394.0
HARRISON,1,5006.0
HEWES ST,JM,16825.0
HOUSTON ST,1,80956.0
HOWARD BCH JFK,A,23629.0
HOYT ST,23,43296.0
HOYT-SCHER,ACG,52841.0
HUNTERS PT AV,7,998.0
HUNTS POINT AV,6,63877.0
INTERVALE AV,25,19354.0
INWOOD-207 ST,A,48233.0
JACKSON AV,25,30179.0
JAMAICA 179 ST,F,126088.0
JAMAICA CENTER,EJZ,230565.0
JAMAICA VAN WK,E,28923.0
JAY ST-METROTEC,ACF,225261.0
JAY ST-METROTEC,R,19409.0
JEFFERSON ST,L,44403.0
JFK JAMAICA CT1,E,44158.0
JKSN HT-ROOSVLT,EFMR7,288961.0
JOURNAL SQUARE,1,111318.0
JUNCTION BLVD,7,131095.0
JUNIUS ST,3,16151.0
KEW GARDENS,EF,151870.0
KINGS HWY,BQ,115779.0
KINGS HWY,F,27449.0
KINGS HWY,N,9111.0
KINGSBRIDGE RD,4,56334.0
KINGSBRIDGE RD,BD,49141.0
KINGSTON AV,3,29721.0
KINGSTON-THROOP,C,36676.0
KNICKERBOCKER,M,25126.0
KOSCIUSZKO ST,J,30205.0
LACKAWANNA,1,41896.0
LAFAYETTE AV,C,27584.0
LEXINGTON AV/53,EM6,223397.0
LEXINGTON AV/63,F,73593.0
LIBERTY AV,C,16984.0
LONGWOOD AV,6,6019.0
LORIMER ST,JM,24878.0
LORIMER ST,LG,37059.0
MARBLE HILL-225,1,32145.0
MARCY AV,JMZ,80143.0
METROPOLITAN AV,GL,53290.0
METROPOLITAN AV,M,20730.0
METS-WILLETS PT,7,16568.0
MIDDLETOWN RD,6,11522.0
MONTROSE AV,L,40358.0
MORGAN AV,L,43033.0
MORISN AV/SNDVW,6,38441.0
MOSHOLU PKWY,4,50218.0
MT EDEN AV,4,33682.0
MYRTLE AV,JMZ,68600.0
MYRTLE-WILLOUGH,G,37494.0
MYRTLE-WYCKOFF,LM,127158.0
NASSAU ST,G,52214.0
NECK RD,BQ,25815.0
NEPTUNE AV,F,10492.0
NEREID AV,25,22196.0
NEVINS ST,2345,57023.0
NEW LOTS AV,3,40706.0
NEW UTRECHT AV,ND,34748.0
NEWKIRK PLAZA,BQ,64753.0
NORTHERN BLVD,MR,43208.0
NORWOOD 205 ST,D,49547.0
NORWOOD AV,JZ,21360.0
NOSTRAND AV,3,29390.0
NOSTRAND AV,AC,105323.0
OCEAN PKWY,Q,18665.0
OZONE PK LEFFRT,A,46715.0
PARK PLACE,23ACE,20994.0
PARK PLACE,S,10940.0
PARKCHESTER,6,95353.0
PARKSIDE AV,BQ,34341.0
PARSONS BLVD,F,38436.0
PATH WTC,1,200035.0
PATH WTC 2,1,2790.0
PAVONIA/NEWPORT,1,104617.0
PELHAM BAY PARK,6,39677.0
PELHAM PKWY,25,56582.0
PENNSYLVANIA AV,3,36308.0
PRINCE ST,NR,82533.0
PROSPECT AV,25,42349.0
PROSPECT AV,R,34790.0
PROSPECT PARK,BQS,59388.0
QUEENS PLAZA,EMR,64207.0
QUEENSBORO PLZ,7NQ,75527.0
RALPH AV,C,34366.0
RECTOR ST,1,59024.0
RECTOR ST,R,34417.0
RIT-MANHATTAN,R,22949.0
RIT-ROOSEVELT,R,24526.0
ROCKAWAY AV,3,24577.0
ROCKAWAY AV,C,33748.0
ROCKAWAY BLVD,A,43627.0
ROCKAWAY PARK B,AS,3791.0
ROOSEVELT ISLND,F,37744.0
SARATOGA AV,3,35863.0
SENECA AVE,M,16391.0
SHEEPSHEAD BAY,BQ,83442.0
SHEPHERD AV,C,20050.0
SIMPSON ST,25,52014.0
SMITH-9 ST,FG,28528.0
SOUTH FERRY,1R,73026.0
SPRING ST,6,50033.0
SPRING ST,CE,64068.0
ST LAWRENCE AV,6,24499.0
ST. GEORGE,1,73296.0
STEINWAY ST,MR,82213.0
SUTPHIN BLVD,F,27193.0
SUTPHIN-ARCHER,EJZ,134996.0
SUTTER AV-RUTLD,3,46226.0
THIRTY ST,1,39032.0
THIRTY THIRD ST,1,115227.0
TIMES SQ-42 ST,1237ACENQRS,389538.0
TIMES SQ-42 ST,ACENQRS1237,64430.0
TOMPKINSVILLE,1,4323.0
TREMONT AV,BD,59894.0
TWENTY THIRD ST,1,40953.0
UNION ST,R,37224.0
UTICA AV,AC,87086.0
V.CORTLANDT PK,1,41540.0
VAN SICLEN AV,3,12843.0
VAN SICLEN AV,JZ,18060.0
VAN SICLEN AVE,C,18930.0
VERNON-JACKSON,7,6766.0
W 4 ST-WASH SQ,ABCDEFM,220365.0
W 8 ST-AQUARIUM,FQ,12190.0
WAKEFIELD/241,2,29745.0
WALL ST,23,105359.0
WALL ST,45,115781.0
WEST FARMS SQ,25,44723.0
WESTCHESTER SQ,6,37122.0
WHITEHALL S-FRY,R1,79469.0
WHITLOCK AV,6,10646.0
WINTHROP ST,25,9098.0
WOODHAVEN BLVD,JZ,27538.0
WOODHAVEN BLVD,MR,126746.0
WOODLAWN,4,35914.0
WORLD TRADE CTR,ACE23,82946.0
YORK ST,F,57589.0
ZEREGA AV,6,15261.0
